id|insee|zip|name|slug|latitude|longitude|departments_id|departments_code|departments_name|departments_slug|regions_id|code|regions_name|regions_slug
53|01057|01190|Boz|boz|46.406688461538|4.9145222115385|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
54|01058|01300|Brégnier-Cordon|bregnier cordon|45.642557962963|5.6218911111111|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
55|01059|01260|Brénaz|brenaz|45.9507006|5.7319224|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
56|01060|01110|Brénod|brenod|46.079860253165|5.6245641139241|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
57|01061|01300|Brens|brens|45.716478|5.6952011428571|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
58|01062|01360|Bressolles|bressolles|45.871669416058|5.1005599270073|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
59|01063|01460|Brion|brion|46.164567419355|5.5459588709677|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
60|01064|01470|Briord|briord|45.778150092593|5.4907816666667|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
61|01065|01310|Buellas|buellas|46.211549901961|5.1450947058824|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
62|01066|01510|La Burbanche|la burbanche|45.865082553191|5.5447043617021|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
63|01067|01430|Ceignes|ceignes|46.122940705882|5.4945695294118|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
64|01068|01450|Cerdon|cerdon|46.074992025316|5.4736034177215|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
65|01069|01240|Certines|certines|46.132655|5.2654237837838|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
66|01071|01170|Cessy|cessy|46.317985422535|6.0760071126761|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
67|01072|01250|Ceyzériat|ceyzeriat|46.18357864|5.31511216|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
68|01073|01350|Ceyzérieu|ceyzerieu|45.832576010638|5.7116832446808|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
69|01074|01320|Chalamont|chalamont|46.002631512605|5.173992605042|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
70|01075|01480|Chaleins|chaleins|46.034425041322|4.7996861983471|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
71|01076|01230|Chaley|chaley|45.956394255319|5.544979893617|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
72|01077|01450|Challes-la-Montagne|challes la montagne|46.123219901961|5.4601503921569|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
73|01078|01630|Challex|challex|46.175373944954|5.9679271559633|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
74|01079|01260|Champagne-en-Valromey|champagne en valromey|45.931606372093|5.6934707441861|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
75|01080|01110|Champdor-Corcelles|champdor corcelles|46.032686575342|5.575461369863|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
76|01081|01410|Champfromier|champfromier|46.220618641975|5.8242741358025|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
77|01082|01420|Chanay|chanay|46.001900603448|5.7795182758621|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
78|01083|01990|Chaneins|chaneins|46.088803267327|4.8552178217822|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
79|01084|01400|Chanoz-Châtenay|chanoz chatenay|46.187230382166|5.0270835031847|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
